,Text (IPCC report),Text (IPCC report) - Row Index,Text (IPCC mentions),Text (IPCC mentions) - Row Index,Distance,Ratio,Matching Text
10,"), Cambridge University Press, Cambridge, UK and New York, NY, USA, pp.",375,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1535 pp.",15315,20,0.8717948717948718,"['Cambridge University Press, Cambridge, U', ' and New York, NY, USA,']"
11,"The IPCC Fifth Assessment Report (ARS) concluded that, 'Warming of the climate system is unequivocal, and since the 1950s, many of the observed changes are unprecedented over decades to millennia.",388,"The Intergovernmental Panel on Climate Change (IPCC 2014) concluded ""warming of the climate system is unequivocal, and since the 1950s, many of the observed changes are unprecedented over decades to millennia.",10969,52,0.8296296296296296,"[') concluded ', 'arming of the climate system is unequivocal, and since the 1950s, many of the observed changes are unprecedented over decades to millennia.']"
12,"The atmosphere and ocean have warmed, the amounts of snow and ice have diminished, sea level has risen, and the concentrations of greenhouse gases have increased"" (IPCC, 2013).",388,"The atmosphere and ocean are getting warm, the amount of snow and ice have decreased, sea level has risen, and the concentrations of GHGS have increased (IPCC, 2013).",9337,36,0.8654970760233918,"['The atmosphere and ocean ', ', the amount', ' of snow and ice have d', 'ed, sea level has risen, and the concentrations of ', 'have increased', ' (IPCC, 2013).']"
13,"Adaptation refers to processes of adjustment by natural or human systems to actual or expected climate and its effects, intended to moderate harm or exploit beneficial opportunities.",490,"In human systems, adaptation is the process of adjustment to actual or expected climate and its effects, in order to moderate harm or exploit beneficial opportunities.",7487,60,0.8080229226361031,"['daptation ', ' process', ' of adjustment ', 'ctual or expected climate and its effects, in', ' to moderate harm or exploit beneficial opportunities.']"
14,"Cambridge University Press, Cambridge, United Kingdom, 570 pp.",641,"Cambridge University Press, Cambridge, 599 pp.",13292,18,0.8148148148148149,"['Cambridge University Press, Cambridge, ']"
15,"Cambridge University Press, Cambridge, United Kingdom, 570 pp.",641,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1535 pp.",15315,25,0.8163265306122449,"['Cambridge University Press, Cambridge, United Kingdom']"
16,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1-32.",647,"), Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 996 pp.",539,9,0.9230769230769231,"['Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, ']"
17,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1-32.",647,"Cambridge University Press, Cambridge, UK, and New York, NY, USA, p. 109-230.",1310,19,0.8679245283018868,"['Cambridge University Press, Cambridge, U', ' and New York, NY, USA, ']"
18,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1-32.",647,"Cambridge University Press, Cambridge, UK, and New York, NY, USA, pp.",3771,16,0.8741721854304636,"['Cambridge University Press, Cambridge, U', ' and New York, NY, USA, ']"
19,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1-32.",647,"Cambridge University Press, Cambridge, UK, and New York, NY, USA, pp.",8670,16,0.8741721854304636,"['Cambridge University Press, Cambridge, U', ' and New York, NY, USA, ']"
20,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1-32.",647,"Cambridge University Press, Cambridge, UK, and New York, NY, USA, p. 109-230.",14872,19,0.8679245283018868,"['Cambridge University Press, Cambridge, U', ' and New York, NY, USA, ']"
21,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1-32.",647,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1535 pp.",15315,5,0.9580838323353293,"['Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1']"
22,"A. Nauels, Y. Xia, V. Bex and P.M. Midgley (eds.)).",689,"Allen, J. Boschung, A. Nauels, Y. Xia, V. Bex and P.M. Midgley (eds.)].",15315,21,0.819672131147541,"['Nauels, Y. Xia, V. Bex and P.M. Midgley (eds.)']"
23,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 317-382.",689,"), Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 996 pp.",539,10,0.9069767441860466,"['Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, ']"
24,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 317-382.",689,"Cambridge University Press, Cambridge, UK, and New York, NY, USA, p. 109-230.",1310,20,0.8518518518518519,"['Cambridge University Press, Cambridge, U', ' and New York, NY, USA, ']"
25,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 317-382.",689,"Cambridge University Press, Cambridge, UK, and New York, NY, USA, pp.",3771,19,0.8571428571428572,"['Cambridge University Press, Cambridge, U', ' and New York, NY, USA, ']"
26,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 317-382.",689,"Cambridge University Press, Cambridge, UK, and New York, NY, USA, pp.",8670,19,0.8571428571428572,"['Cambridge University Press, Cambridge, U', ' and New York, NY, USA, ']"
27,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 317-382.",689,"Cambridge University Press, Cambridge, UK, and New York, NY, USA, p. 109-230.",14872,20,0.8518518518518519,"['Cambridge University Press, Cambridge, U', ' and New York, NY, USA, ']"
28,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 317-382.",689,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1535 pp.",15315,7,0.9411764705882353,"['Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, ']"
29,"Cambridge University Press, Cambridge, United Kingdom, 276 pp.",692,"), Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 996 pp.",539,27,0.8053691275167785,"['Cambridge University Press, Cambridge, United Kingdom']"
30,"Cambridge University Press, Cambridge, United Kingdom, 276 pp.",692,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1535 pp.",15315,26,0.8027210884353742,"['Cambridge University Press, Cambridge, United Kingdom']"
31,Our primary data source is the Emissions Database for Global Atmospheric Research (EDGAR) (Crippa et al.,786,"However, databases such as the Emission Database for Global Atmospheric Research (EDGAR) (Olivier et al.",7118,26,0.8076923076923077,"['s the Emission', ' Database for Global Atmospheric Research (EDGAR) (', ' et al.']"
32,"Cambridge University Press, Cambridge, UK, 861 pp.",824,"Cambridge University Press, Cambridge, UK",8671,9,0.9010989010989011,"['Cambridge University Press, Cambridge, UK']"
33,"Cambridge University Press, Cambridge, UK, 861 pp.",824,"Cambridge University Press, Cambridge, 599 pp.",13292,7,0.8958333333333334,"['Cambridge University Press, Cambridge, ']"
34,"Press, Cambridge, UK and New York, NY, USA, pp.",827,"Cambridge University Press, Cambridge, UK, and New York, NY, USA, pp.",3771,22,0.8103448275862069,"['Press, Cambridge, UK', ' and New York, NY, USA, pp.']"
35,"Press, Cambridge, UK and New York, NY, USA, pp.",827,"Cambridge University Press, Cambridge, UK, and New York, NY, USA, pp.",8670,22,0.8103448275862069,"['Press, Cambridge, UK', ' and New York, NY, USA, pp.']"
36,"Adaptation in this report is defined, in human systems, as the process of adjustment to actual or expected climate and its effects in order to moderate harm or exploit beneficial opportunities.",850,"In human systems, adaptation is the process of adjustment to actual or expected climate and its effects, in order to moderate harm or exploit beneficial opportunities.",7487,48,0.8555555555555556,"['s the process of adjustment to actual or expected climate and its effects', ' in order to moderate harm or exploit beneficial opportunities.']"
37,"In this context, exposure is defined as the presence of people; livelihoods; species or ecosystems; environmental functions, services and resources; infrastructure; or economic, social or cultural assets in places and settings that could be adversely affected.",851,"For the IPCC (2014b), exposure is the presence of people, their livelihoods, species and ecosystems, environmental functions, services and resources, infrastructure or economic, social or cultural assets in places that could be adversely affected.",3769,54,0.8599605522682445,"[', exposure is ', 'the presence of people', 'livelihoods', ' species ', ' ecosystems', ' environmental functions, services and resources', ' infrastructure', ' or economic, social or cultural assets in place', 's that could be adversely affected.']"
38,"In this context, exposure is defined as the presence of people; livelihoods; species or ecosystems; environmental functions, services and resources; infrastructure; or economic, social or cultural assets in places and settings that could be adversely affected.",851,"Exposure refers to the presence of people; livelihoods; species or ecosystems; environmental functions, services, and resources; infrastructure; or economic, social, or cultural assets in places and settings that could be adversely affected (IPCC, 2018, p.549).",7494,50,0.8944337811900192,"['posure ', ' the presence of people; livelihoods; species or ecosystems; environmental functions, services', ' and resources; infrastructure; or economic, social', ' or cultural assets in places and settings that could be adversely affected']"
39,"Resilience in this report is defined as the capacity of social, economic and environmental systems to cope with a hazardous event or trend or disturbance, responding or reorganising in ways that maintain their essential function, identity and structure while also maintaining the capacity for adaptation, learning and transformation.",853,"Resilience is the capacity of social, economic and environmental systems to cope with a hazardous event or trend or disturbance, responding or reorganizing in ways that maintain their essential function, identity and structure while also maintaining the capacity for adaptation, learning and transformation.",7501,27,0.95625,"['Resilience i', 'he capacity of social, economic and environmental systems to cope with a hazardous event or trend or disturbance, responding or reorgani', 'ing in ways that maintain their essential function, identity and structure while also maintaining the capacity for adaptation, learning and transformation.']"
40,"Annual finance flows targeting adaptation for Africa, for example, are billions of US dollars less than the lowest adaptation cost estimates for near-term climate change (high confidence).",1086,"According to the IPCC, annual finance flows targeting adaptation for Africa are billions of US dollars less than the lowest adaptation cost estimates for near-term climate change.",9000,55,0.8501362397820164,"['ual finance flows targeting adaptation for Africa', 're billions of US dollars less than the lowest adaptation cost estimates for near-term climate change']"
41,"While there is medium confidence that the Atlantic Meridional Overturning Circulation (AMOC) will not experience an abrupt collapse before 2100, if it were to occur, it would very likely cause abrupt shifts in regional weather patterns and water cycle.",1467,"In the sixth assessment report of IPCC (2021) it was concluded that there is medium confidence that the Atlantic Meridional Overturning Circulation (AMOC) will not experience an abrupt collapse before 2100, if it were to occur, it would very likely cause abrupt shifts in regional weather patterns and water cycle.",2297,63,0.8869257950530035,"[' there is medium confidence that the Atlantic Meridional Overturning Circulation (AMOC) will not experience an abrupt collapse before 2100, if it were to occur, it would very likely cause abrupt shifts in regional weather patterns and water cycle.']"
42,"While there is medium confidence that the Atlantic Meridional Overturning Circulation (AMOC) will not experience an abrupt collapse before 2100, if it were to occur, it would very likely cause abrupt shifts in regional weather patterns and water cycle.",1467,"In the sixth assessment report of IPCC (2021) it was concluded that there is medium confidence that the Atlantic Meridional Overturning Circulation (AMOC) will not experience an abrupt collapse before 2100, if it were to occur, it would very likely cause abrupt shifts in regional weather patterns and water cycle.",8672,63,0.8869257950530035,"[' there is medium confidence that the Atlantic Meridional Overturning Circulation (AMOC) will not experience an abrupt collapse before 2100, if it were to occur, it would very likely cause abrupt shifts in regional weather patterns and water cycle.']"
43,"While there is low confidence in 20th century AMOC change, it is very likely that AMOC will decline over the 21st century (Figure TS.11).",1483,"While there is low confidence in 20th century AMOC change, it is very likely that AMOC will decline over the 21st century.",2297,15,0.9420849420849421,"['While there is low confidence in 20th century AMOC change, it is very likely that AMOC will decline over the 21st century']"
44,"While there is low confidence in 20th century AMOC change, it is very likely that AMOC will decline over the 21st century (Figure TS.11).",1483,"While there is low confidence in 20th century AMOC change, it is very likely that AMOC will decline over the 21st century.",8672,15,0.9420849420849421,"['While there is low confidence in 20th century AMOC change, it is very likely that AMOC will decline over the 21st century']"
45,Warming trends observed in recent decades are projected to continue over the 21st century and over most land regions at a rate higher than the global average (high confidence).,1732,Warming trends observed in recent decades are projected to continue over the 21st century and over most land regions at a rate higher than the global average.,15492,18,0.9461077844311377,['Warming trends observed in recent decades are projected to continue over the 21st century and over most land regions at a rate higher than the global average']
46,"Inc Climate Change and Land: an IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems [P.R.",1851,"37 IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems",15384,37,0.8970976253298153,"['IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems']"
47,"Pörtner, D. C. Roberts, P. Zhai, R. Slade, S. Connors, R. van Diemen, M. Ferrat, E. Haughey, S. Luz, S. Neogi M. Pathak, J. Petzold, J. Portugall Pereira, P. Vyas, E. Huntley, K. Kissick, M, Belkacemi, J. Malley, (eds.)].",1851,"[53] P. R. Shukla, J. Skea, E. C. Buendia, V. Masson-Delmotte, H.O.Pörtner, D. C. Roberts, P. Zhai, R. Slade, S. Connors, R. van Diemen, M. Ferrat, E. Haughey, S. Luz, S. Neogi, M. Pathak, J. Petzold, J. Portugal Perreira, P. Vyas, E. Huntley, K. Kissick, M. Belkacemi and J. Malley, ""Summary for Policymakers.",8375,100,0.8022598870056497,"['örtner, D. C. Roberts, P. Zhai, R. Slade, S. Connors, R. van Diemen, M. Ferrat, E. Haughey, S. Luz, S. Neogi', ' M. Pathak, J. Petzold, J. Portugal', 'eira, P. Vyas, E. Huntley, K. Kissick, M', ' Belkacemi', ' J. Malley, ']"
48,"In: Climate Change and Land: an IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems IPR.",2026,"37 IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems",15384,36,0.8994708994708995,"['IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems']"
49,"Pärtner, D.C. Roberts, P. Zhai, R. Slade, S. Connors, R. van Diemen, M. Ferrat, E. Haughey, S. Luz, S. Neogi, M. Pathak, J. Petzold, J. Portugal Pereira, P. Vyas, E. Huntley, K. Kissick, M. Belkacemi, J. Malley, (eds.",2026,"[53] P. R. Shukla, J. Skea, E. C. Buendia, V. Masson-Delmotte, H.O.Pörtner, D. C. Roberts, P. Zhai, R. Slade, S. Connors, R. van Diemen, M. Ferrat, E. Haughey, S. Luz, S. Neogi, M. Pathak, J. Petzold, J. Portugal Perreira, P. Vyas, E. Huntley, K. Kissick, M. Belkacemi and J. Malley, ""Summary for Policymakers.",8375,97,0.8083491461100569,"['rtner, D.', 'C. Roberts, P. Zhai, R. Slade, S. Connors, R. van Diemen, M. Ferrat, E. Haughey, S. Luz, S. Neogi, M. Pathak, J. Petzold, J. Portugal Per', 'eira, P. Vyas, E. Huntley, K. Kissick, M. Belkacemi', ' J. Malley, ']"
50,"• FAQ, 2015a: Global Forest Resources Assessments 2015.",2214,Global Forest Resources Assessment 2005.,7403,16,0.8210526315789474,['Global Forest Resources Assessment']
51,"• FAQ, 2015a: Global Forest Resources Assessments 2015.",2214,"The FAO ""Global Forest Resource Assessment 2015.",16075,14,0.8349514563106796,"['Global Forest Resource', ' Assessment', ' 2015.']"
52,"of the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services, Bonn, Germany, 744 pp.",2236,"(Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services, IPBES).",10923,28,0.835820895522388,"['Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services, ']"
53,"of the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services, Bonn, Germany, 744 pp.",2236,"(Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services, IPBES).",10933,28,0.835820895522388,"['Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services, ']"
54,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA.",2278,"), Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 996 pp.",539,11,0.9325153374233128,"['Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA']"
55,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA.",2278,"Cambridge University Press, Cambridge, UK, and New York, NY, USA, p. 109-230.",1310,24,0.8366013071895425,"['Cambridge University Press, Cambridge, U', ' and New York, NY, USA']"
56,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA.",2278,"Cambridge University Press, Cambridge, UK, and New York, NY, USA, pp.",3771,16,0.8827586206896552,"['Cambridge University Press, Cambridge, U', ' and New York, NY, USA']"
57,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA.",2278,"Cambridge University Press, Cambridge, UK, and New York, NY, USA, pp.",8670,16,0.8827586206896552,"['Cambridge University Press, Cambridge, U', ' and New York, NY, USA']"
58,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA.",2278,"Cambridge University Press, Cambridge, UK, and New York, NY, USA, p. 109-230.",14872,24,0.8366013071895425,"['Cambridge University Press, Cambridge, U', ' and New York, NY, USA']"
59,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA.",2278,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1535 pp.",15315,9,0.9440993788819876,"['Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA']"
60,"Although global tracked climate finance has shown an upward trend since AR5, current global financial flows for adaptation, including from public and private finance sources, are insufficient and constrain implementation of adaptation options, especially in developing countries (high confidence).",2349,"Although global tracked climate finance has shown an upward trend since AR5, current global financial flows for adaptation, including from public and private finance sources, are insufficient for and constrain implementation of adaptation options especially in developing countries.",1525,23,0.9602763385146805,"['Although global tracked climate finance has shown an upward trend since AR5, current global financial flows for adaptation, including from public and private finance sources, are insufficient ', 'and constrain implementation of adaptation options', ' especially in developing countries']"
61,"Adverse climate impacts can reduce the availability of financial resources by incurring losses and damages and through impeding national economic growth, thereby further increasing financial constraints for adaptation, particularly for developing and least developed countries (medium confidence).",2349,"Adverse climate impacts can reduce the availability of financial resources by incurring losses and damages and through impeding national economic growth, thereby further increasing financial constraints for adaptation, particularly for developing and least developed countries.""",1525,21,0.9634782608695652,"['Adverse climate impacts can reduce the availability of financial resources by incurring losses and damages and through impeding national economic growth, thereby further increasing financial constraints for adaptation, particularly for developing and least developed countries']"
62,"Adaptation does not prevent all losses and damages, even with effective adaptation and before reaching soft and hard limits (high confidence).",2351,"The IPCC has noted that ""Adenration does not prevent all losses and damages even with effective adaptation and before reaching soft and hard limits",1525,48,0.8304498269896194,"['ion does not prevent all losses and damages', ' even with effective adaptation and before reaching soft and hard limits']"
63,"Adaptation does not prevent all losses and damages, even with effective adaptation and before reaching soft and hard limits (high confidence).",2351,"The IPCC has noted that ""Adaptation does not prevent all losses and damages, even with effective adaptation and before reaching soft and hard limits.",1526,43,0.852233676975945,"['Adaptation does not prevent all losses and damages, even with effective adaptation and before reaching soft and hard limits']"
64,"A.4.5 The adoption of low-emission technologies lags in most developing countries, particularly least developed ones, due in part to limited finance, technology development and transfer, and capacity (medium confidence).",2360,"IPCC further says: ""Adoption of low-emission technologies lags in most developing countries, particularly least developed ones, due in part to weaker enabling conditions, including limited finance, technology development and transfer, and capacity.",336,75,0.829059829059829,"['doption of low-emission technologies lags in most developing countries, particularly least developed ones, due in part to ', 'mited finance, technology development and transfer, and capacity']"
65,"Policies implemented by the end of 2020 are projected to result in higher global GHG emissions in 2030 than emissions implied by NDCs, indicating an ""implementation gap' (high confidence).",2362,"In addition, policies implemented by the end of 2020 are projected to result in higher global GHG emissions than those implied by NDCs, indicating an implementation gap.",2977,50,0.8515406162464986,"['licies implemented by the end of 2020 are projected to result in higher global GHG emissions ', ' implied by NDCs, indicating an ', 'implementation gap']"
66,"Innovation and adoption of low-emission technologies lags in most developing countries, particularly least developed ones, due in part to weaker enabling conditions, including limited finance, technology development and transfer, and capacity building.",2466,"IPCC further says: ""Adoption of low-emission technologies lags in most developing countries, particularly least developed ones, due in part to weaker enabling conditions, including limited finance, technology development and transfer, and capacity.",336,25,0.928,"['doption of low-emission technologies lags in most developing countries, particularly least developed ones, due in part to weaker enabling conditions, including limited finance, technology development and transfer, and capacity']"
67,In: IPCC Special Report on the Ocean and Cryosphere in a Changing Climate [H.-O.,2468,"High Mountain Areas; in IPCC Special Report on the Ocean and Cryosphere in a Changing Climate, (eds.)",8206,29,0.8066298342541436,['IPCC Special Report on the Ocean and Cryosphere in a Changing Climate']
68,"Pörtner, D.C. Roberts, V. Masson-Delmotte, P. Zhai, M. Tignor, E. Poloczanska, K. Mintenbeck, A. Alegria, M. Nicolai, A. Okem, J. Petzold, B. Rama, N.M. Weyer (eds.)].",2468,"Pörtner, D.C. Roberts, V. Masson-Delmotte, P. Zhai, M. Tignor, E. Poloczanska, K. Mintenbeck, A. Alegría, M. Nicolai, A. Okem, J. Petzold, B. Rama, N.M. Weyer (eds.)].",8206,1,0.9940119760479041,"['Pörtner, D.C. Roberts, V. Masson-Delmotte, P. Zhai, M. Tignor, E. Poloczanska, K. Mintenbeck, A. Alegr', 'a, M. Nicolai, A. Okem, J. Petzold, B. Rama, N.M. Weyer (eds.)].']"
69,"Cambridge University Press, Cambridge, and New York, NY, USA, pp.",2468,"), Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 996 pp.",539,22,0.8552631578947368,"['Cambridge University Press, Cambridge, ', 'and New York, NY, USA,']"
70,"Cambridge University Press, Cambridge, and New York, NY, USA, pp.",2468,"Cambridge University Press, Cambridge, UK, and New York, NY, USA, p. 109-230.",1310,13,0.9014084507042254,"['Cambridge University Press, Cambridge, ', 'and New York, NY, USA, p']"
71,"Cambridge University Press, Cambridge, and New York, NY, USA, pp.",2468,"Cambridge University Press, Cambridge, UK, and New York, NY, USA, pp.",3771,4,0.9701492537313433,"['Cambridge University Press, Cambridge, ', 'and New York, NY, USA, pp.']"
72,"Cambridge University Press, Cambridge, and New York, NY, USA, pp.",2468,"Cambridge University Press, Cambridge, UK, and New York, NY, USA, pp.",8670,4,0.9701492537313433,"['Cambridge University Press, Cambridge, ', 'and New York, NY, USA, pp.']"
73,"Cambridge University Press, Cambridge, and New York, NY, USA, pp.",2468,"Cambridge University Press, Cambridge, UK, and New York, NY, USA, p. 109-230.",14872,13,0.9014084507042254,"['Cambridge University Press, Cambridge, ', 'and New York, NY, USA, p']"
74,"Cambridge University Press, Cambridge, and New York, NY, USA, pp.",2468,"Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 1535 pp.",15315,20,0.8666666666666667,"['Cambridge University Press, Cambridge, ', 'and New York, NY, USA,']"
75,"Adoption of low-emission technologies lags in most developing countries, particularly least developed ones, due in part to weaker enabling conditions, including limited finance, technology development and transfer, and capacity.",3295,"IPCC further says: ""Adoption of low-emission technologies lags in most developing countries, particularly least developed ones, due in part to weaker enabling conditions, including limited finance, technology development and transfer, and capacity.",336,20,0.957983193277311,"['Adoption of low-emission technologies lags in most developing countries, particularly least developed ones, due in part to weaker enabling conditions, including limited finance, technology development and transfer, and capacity.']"
76,"In many countries, especially those with limited institutional capacities, several adverse side effects have been observed as a result of diffusion of low-emission technology, for example, low-value employment, and dependency on foreign knowledge and suppliers.",3295,"In many countries, especially those with limited institutional capacities, several adverse side effects have been observed as a result of diffusion of low-emission technology, e.g., low-value employment, and dependency on foreign knowledge and suppliers.""",336,11,0.9728682170542635,"['In many countries, especially those with limited institutional capacities, several adverse side effects have been observed as a result of diffusion of low-emission technology, ', ', low-value employment, and dependency on foreign knowledge and suppliers.']"
77,"If the geological storage site is appropriately selected and managed, it is estimated that the CO₂ can be permanently isolated from the atmosphere.",3334,"If the geological storage site is appropriately selected and managed, it is estimated that the CO₂can be permanently isolated from the atmosphere.",9162,1,0.9965870307167235,"['If the geological storage site is appropriately selected and managed, it is estimated that the CO₂', 'can be permanently isolated from the atmosphere.']"
78,"Reducing GHG emissions across the full energy sector requires major transitions, including a substantial reduction in overall fossil fuel use, the deployment of low-emission energy sources, switching to alternative energy carriers, and energy efficiency and conservation.",3335,"According to the IPCC WG III report, reducing GHG emissions across the full energy sector requires major transitions, including a substantial reduction in the overall fossil fuel use, the deployment of low-emission energy sources, switching to alternative energy carriers, and energy efficiency and conservation.",4467,42,0.9262435677530018,"['ducing GHG emissions across the full energy sector requires major transitions, including a substantial reduction in', ' overall fossil fuel use, the deployment of low-emission energy sources, switching to alternative energy carriers, and energy efficiency and conservation.']"
