,Text (IPCC report),Text (IPCC report) - Row Index,Text (IPCC mentions),Text (IPCC mentions) - Row Index,Distance,Ratio,Matching Text
0,"Center for Global Environmental Research, National Institute for Environmental Studies Japan",4,"Department of Geography, University College London, and the Centre for Global Environmental Research, National Institute for Environmental Studies, Japan.",4217,62,0.7479674796747968,"[' for Global Environmental Research, National Institute for Environmental Studies', ' Japan']"
1,"Center for Global Environmental Research, National Institute for Environmental Studies Japan",4,"London and Tsukuba, Japan: Department of Geography, University College, London, and and Centre for Global Environmental Research, National Institute for Environmental Studies, Japan.",9955,91,0.6642335766423357,"['for Global Environmental Research, National Institute for Environmental Studies', ' Japan']"
2,"Adaptation takes place at international, national and local levels.",12,A series of consultations were held at the national and provincial levels.,15390,42,0.6099290780141844,"[' national and ', 'al levels.']"
3,"This chapter frames the context, knowledge-base and assessment approaches used to understand the impacts of 1.5°C global warming above pre-industrial levels and related global greenhouse gas emission pathways, building on the IPCC Fifth Assessment Report (ARS), in the context of strengthening the global response to the threat of climate change, sustainable development and efforts to eradicate poverty.",17,"We have warmly welcomed the IPCC's special report on global warming of 1.5 °C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty.",5922,147,0.7563739376770539,"[' of 1.5', 'bove pre-industrial levels and related global greenhouse gas emission pathways, ', 'context of strengthening the global response to the threat of climate change, sustainable development', ' and efforts to eradicate poverty.']"
4,"This chapter frames the context, knowledge-base and assessment approaches used to understand the impacts of 1.5°C global warming above pre-industrial levels and related global greenhouse gas emission pathways, building on the IPCC Fifth Assessment Report (ARS), in the context of strengthening the global response to the threat of climate change, sustainable development and efforts to eradicate poverty.",17,"Taking into account the best available science, such as ""IPCC special report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty"", European Commission's Communication ""A Clean Planet for all!",8305,201,0.7070457354758961,"[' the impacts of ', 'global warming ', 'above pre-industrial levels and related global greenhouse gas emission pathways, ', 'context of strengthening the global response to the threat of climate change, sustainable development', ' and efforts to eradicate poverty']"
5,"This chapter frames the context, knowledge-base and assessment approaches used to understand the impacts of 1.5°C global warming above pre-industrial levels and related global greenhouse gas emission pathways, building on the IPCC Fifth Assessment Report (ARS), in the context of strengthening the global response to the threat of climate change, sustainable development and efforts to eradicate poverty.",17,"In: Global Warming of 1.5°C, IPCC Special Report on the Impacts of Global Warming of 1.5°C Above Pre-Industrial Levels and the Corresponding Trajectories that Global Greenhouse Gas Emissions Should Follow, in context of strengthening the global response to the threat of climate change, sustainable development and efforts to eradicate poverty.",9321,182,0.6818181818181819,"['mpacts of ', 'lobal ', 'arming ', 'ndustrial ', 'evels and ', ' context of strengthening the global response to the threat of climate change, sustainable development and efforts to eradicate poverty.']"
6,"This chapter frames the context, knowledge-base and assessment approaches used to understand the impacts of 1.5°C global warming above pre-industrial levels and related global greenhouse gas emission pathways, building on the IPCC Fifth Assessment Report (ARS), in the context of strengthening the global response to the threat of climate change, sustainable development and efforts to eradicate poverty.",17,The IPCC special report on the impacts of global temperature rise of 1.5 °C above pre-industrial levels and related global greenhouse gas emission pathways published prior to COP24 represents a strong signal for the urgent need to enhance the global response to the threat of climate change and to achieve sustainable development.,10144,205,0.6403269754768393,"[' of 1.5', 'bove pre-industrial levels and related global greenhouse gas emission pathways', ' the global response to the threat of climate change']"
7,"This chapter frames the context, knowledge-base and assessment approaches used to understand the impacts of 1.5°C global warming above pre-industrial levels and related global greenhouse gas emission pathways, building on the IPCC Fifth Assessment Report (ARS), in the context of strengthening the global response to the threat of climate change, sustainable development and efforts to eradicate poverty.",17,"Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty [Masson-Delmotte, V., P. Zhai, H.-O.",11787,189,0.729312762973352,"[' of 1.5°C ', 'bove pre-industrial levels and related global greenhouse gas emission pathways, ', 'context of strengthening the global response to the threat of climate change, sustainable development', ' and efforts to eradicate poverty']"
8,This report assesses projected impacts at a global average warming of 1.5°C and higher levels of warming.,18,"The IPCC ""Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and",7483,62,0.6009852216748768,"[' impacts ', 'global ', 'warming of 1.5°C a', ' levels ']"
9,Section 1.3 frames the impacts at 1.5°C and beyond on natural and human systems.,25,"As mentioned in graph 61, the term impact is defined as the effects on natural and human systems.",1593,44,0.6327683615819208,"['impact', ' on natural and human systems.']"
10,Section 1.3 frames the impacts at 1.5°C and beyond on natural and human systems.,25,According to the IPCC (2013) the impacts of climate change will be significant on natural and human systems.,13828,52,0.6170212765957447,"[' the impacts ', ' on natural and human systems.']"
11,Differences in vulnerability and exposure arise from numerous,28,with the vulnerability and exposure of human systems,1585,28,0.6371681415929203,['vulnerability and exposure ']
12,The concept of the Anthropocene can be linked to the aspiration of the Paris Agreement.,32,"The important thing is to achieve a balance between the two, as prescribed by the Paris agreement.",496,52,0.6054054054054054,"[' the Paris ', 'greement.']"
13,and adaptation with sustainable development.,34,options to support sustainable development for all.,5567,25,0.6736842105263158,[' sustainable development']
14,This report assesses the role of poverty and its eradication in the context of strengthening the global response to the threat of climate change and sustainable development.,39,"We have warmly welcomed the IPCC's special report on global warming of 1.5 °C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty.",5922,160,0.6147368421052631,"['in the context of strengthening the global response to the threat of climate change', ' sustainable development']"
15,is similar to the estimated externally driven warming.,60,The similar trends are estimated to stay further.,174,30,0.6019417475728155,"[' similar t', 'e estimated ']"
16,Two recent reference periods are used in this report: 1986-2005 and 2006-2015.,62,The reference period for the projections is 1986-2005.,9497,44,0.6060606060606061,"[' reference period', ' 1986-200']"
17,Table 1.1 Observed increase in global average surface temperature in various datasets.,63,"being-increase in global average surface temperature,",13288,38,0.6906474820143884,['increase in global average surface temperature']
18,Figure 1.4 also illustrates time scales associated with different impacts.,79,Table 2.2 shows the values of the gas coefficients associated with the different metrics.,17822,46,0.6134969325153374,"['s associated with ', 'different ']"
19,"The SRES scenarios are superseded by a set of scenarios based on the Representative Concentration Pathways (RCPs) and Shared Socio-Economic Pathways (SSPs) (Riahi et al., 2017).",86,"The emissions scenarios considered in the analysis is the third generation Representative Concentration Pathways (RCP) used in the IPCC AR5 (Moss, R. et al., 2011).",8425,87,0.6275659824046921,"[' scenarios ', 'Representative Concentration Pathways (RCP', ' et al., 201']"
