,Text (IPCC report),Text (IPCC mentions),Distance,Ratio,Matching Text
89,"In this context, exposure is defined as the presence of people; livelihoods; species or ecosystems; environmental functions, services and resources; infrastructure; or economic, social or cultural assets in places and settings that could be adversely affected.","Exposure refers to the presence of people; livelihoods; species or ecosystems; environmental functions, services, and resources; infrastructure; or economic, social, or cultural assets in places and settings that could be adversely affected (IPCC, 2018, p.549).",50,0.8944337811900192,"['posure ', ' the presence of people; livelihoods; species or ecosystems; environmental functions, services', ' and resources; infrastructure; or economic, social', ' or cultural assets in places and settings that could be adversely affected']"
90,"Resilience in this report is defined as the capacity of social, economic and environmental systems to cope with a hazardous event or trend or disturbance, responding or reorganising in ways that maintain their essential function, identity and structure while also maintaining the capacity for adaptation, learning and transformation.","Resilience is the capacity of social, economic and environmental systems to cope with a hazardous event or trend or disturbance, responding or reorganizing in ways that maintain their essential function, identity and structure while also maintaining the capacity for adaptation, learning and transformation.",27,0.95625,"['Resilience i', 'he capacity of social, economic and environmental systems to cope with a hazardous event or trend or disturbance, responding or reorgani', 'ing in ways that maintain their essential function, identity and structure while also maintaining the capacity for adaptation, learning and transformation.']"
91,"Annual finance flows targeting adaptation for Africa, for example, are billions of US dollars less than the lowest adaptation cost estimates for near-term climate change (high confidence).","According to the IPCC, annual finance flows targeting adaptation for Africa are billions of US dollars less than the lowest adaptation cost estimates for near-term climate change.",55,0.8501362397820164,"['ual finance flows targeting adaptation for Africa', 're billions of US dollars less than the lowest adaptation cost estimates for near-term climate change']"
92,"While there is medium confidence that the Atlantic Meridional Overturning Circulation (AMOC) will not experience an abrupt collapse before 2100, if it were to occur, it would very likely cause abrupt shifts in regional weather patterns and water cycle.","In the sixth assessment report of IPCC (2021) it was concluded that there is medium confidence that the Atlantic Meridional Overturning Circulation (AMOC) will not experience an abrupt collapse before 2100, if it were to occur, it would very likely cause abrupt shifts in regional weather patterns and water cycle.",63,0.8869257950530035,"[' there is medium confidence that the Atlantic Meridional Overturning Circulation (AMOC) will not experience an abrupt collapse before 2100, if it were to occur, it would very likely cause abrupt shifts in regional weather patterns and water cycle.']"
93,"While there is medium confidence that the Atlantic Meridional Overturning Circulation (AMOC) will not experience an abrupt collapse before 2100, if it were to occur, it would very likely cause abrupt shifts in regional weather patterns and water cycle.","In the sixth assessment report of IPCC (2021) it was concluded that there is medium confidence that the Atlantic Meridional Overturning Circulation (AMOC) will not experience an abrupt collapse before 2100, if it were to occur, it would very likely cause abrupt shifts in regional weather patterns and water cycle.",63,0.8869257950530035,"[' there is medium confidence that the Atlantic Meridional Overturning Circulation (AMOC) will not experience an abrupt collapse before 2100, if it were to occur, it would very likely cause abrupt shifts in regional weather patterns and water cycle.']"
94,"While there is low confidence in 20th century AMOC change, it is very likely that AMOC will decline over the 21st century (Figure TS.11).","While there is low confidence in 20th century AMOC change, it is very likely that AMOC will decline over the 21st century.",15,0.9420849420849421,"['While there is low confidence in 20th century AMOC change, it is very likely that AMOC will decline over the 21st century']"
95,"While there is low confidence in 20th century AMOC change, it is very likely that AMOC will decline over the 21st century (Figure TS.11).","While there is low confidence in 20th century AMOC change, it is very likely that AMOC will decline over the 21st century.",15,0.9420849420849421,"['While there is low confidence in 20th century AMOC change, it is very likely that AMOC will decline over the 21st century']"
96,Warming trends observed in recent decades are projected to continue over the 21st century and over most land regions at a rate higher than the global average (high confidence).,Warming trends observed in recent decades are projected to continue over the 21st century and over most land regions at a rate higher than the global average.,18,0.9461077844311377,['Warming trends observed in recent decades are projected to continue over the 21st century and over most land regions at a rate higher than the global average']
97,"Inc Climate Change and Land: an IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems [P.R.","37 IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems",37,0.8970976253298153,"['IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems']"
98,"Pörtner, D. C. Roberts, P. Zhai, R. Slade, S. Connors, R. van Diemen, M. Ferrat, E. Haughey, S. Luz, S. Neogi M. Pathak, J. Petzold, J. Portugall Pereira, P. Vyas, E. Huntley, K. Kissick, M, Belkacemi, J. Malley, (eds.)].","[53] P. R. Shukla, J. Skea, E. C. Buendia, V. Masson-Delmotte, H.O.Pörtner, D. C. Roberts, P. Zhai, R. Slade, S. Connors, R. van Diemen, M. Ferrat, E. Haughey, S. Luz, S. Neogi, M. Pathak, J. Petzold, J. Portugal Perreira, P. Vyas, E. Huntley, K. Kissick, M. Belkacemi and J. Malley, ""Summary for Policymakers.",100,0.8022598870056497,"['örtner, D. C. Roberts, P. Zhai, R. Slade, S. Connors, R. van Diemen, M. Ferrat, E. Haughey, S. Luz, S. Neogi', ' M. Pathak, J. Petzold, J. Portugal', 'eira, P. Vyas, E. Huntley, K. Kissick, M', ' Belkacemi', ' J. Malley, ']"
99,"In: Climate Change and Land: an IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems IPR.","37 IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems",36,0.8994708994708995,"['IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems']"
100,"Pärtner, D.C. Roberts, P. Zhai, R. Slade, S. Connors, R. van Diemen, M. Ferrat, E. Haughey, S. Luz, S. Neogi, M. Pathak, J. Petzold, J. Portugal Pereira, P. Vyas, E. Huntley, K. Kissick, M. Belkacemi, J. Malley, (eds.","[53] P. R. Shukla, J. Skea, E. C. Buendia, V. Masson-Delmotte, H.O.Pörtner, D. C. Roberts, P. Zhai, R. Slade, S. Connors, R. van Diemen, M. Ferrat, E. Haughey, S. Luz, S. Neogi, M. Pathak, J. Petzold, J. Portugal Perreira, P. Vyas, E. Huntley, K. Kissick, M. Belkacemi and J. Malley, ""Summary for Policymakers.",97,0.8083491461100569,"['rtner, D.', 'C. Roberts, P. Zhai, R. Slade, S. Connors, R. van Diemen, M. Ferrat, E. Haughey, S. Luz, S. Neogi, M. Pathak, J. Petzold, J. Portugal Per', 'eira, P. Vyas, E. Huntley, K. Kissick, M. Belkacemi', ' J. Malley, ']"
121,"Although global tracked climate finance has shown an upward trend since AR5, current global financial flows for adaptation, including from public and private finance sources, are insufficient and constrain implementation of adaptation options, especially in developing countries (high confidence).","Although global tracked climate finance has shown an upward trend since AR5, current global financial flows for adaptation, including from public and private finance sources, are insufficient for and constrain implementation of adaptation options especially in developing countries.",23,0.9602763385146805,"['Although global tracked climate finance has shown an upward trend since AR5, current global financial flows for adaptation, including from public and private finance sources, are insufficient ', 'and constrain implementation of adaptation options', ' especially in developing countries']"
122,"Adverse climate impacts can reduce the availability of financial resources by incurring losses and damages and through impeding national economic growth, thereby further increasing financial constraints for adaptation, particularly for developing and least developed countries (medium confidence).","Adverse climate impacts can reduce the availability of financial resources by incurring losses and damages and through impeding national economic growth, thereby further increasing financial constraints for adaptation, particularly for developing and least developed countries.""",21,0.9634782608695652,"['Adverse climate impacts can reduce the availability of financial resources by incurring losses and damages and through impeding national economic growth, thereby further increasing financial constraints for adaptation, particularly for developing and least developed countries']"
123,"Adaptation does not prevent all losses and damages, even with effective adaptation and before reaching soft and hard limits (high confidence).","The IPCC has noted that ""Adenration does not prevent all losses and damages even with effective adaptation and before reaching soft and hard limits",48,0.8304498269896194,"['ion does not prevent all losses and damages', ' even with effective adaptation and before reaching soft and hard limits']"
124,"Adaptation does not prevent all losses and damages, even with effective adaptation and before reaching soft and hard limits (high confidence).","The IPCC has noted that ""Adaptation does not prevent all losses and damages, even with effective adaptation and before reaching soft and hard limits.",43,0.852233676975945,"['Adaptation does not prevent all losses and damages, even with effective adaptation and before reaching soft and hard limits']"
125,"A.4.5 The adoption of low-emission technologies lags in most developing countries, particularly least developed ones, due in part to limited finance, technology development and transfer, and capacity (medium confidence).","IPCC further says: ""Adoption of low-emission technologies lags in most developing countries, particularly least developed ones, due in part to weaker enabling conditions, including limited finance, technology development and transfer, and capacity.",75,0.829059829059829,"['doption of low-emission technologies lags in most developing countries, particularly least developed ones, due in part to ', 'mited finance, technology development and transfer, and capacity']"
126,"Policies implemented by the end of 2020 are projected to result in higher global GHG emissions in 2030 than emissions implied by NDCs, indicating an ""implementation gap' (high confidence).","In addition, policies implemented by the end of 2020 are projected to result in higher global GHG emissions than those implied by NDCs, indicating an implementation gap.",50,0.8515406162464986,"['licies implemented by the end of 2020 are projected to result in higher global GHG emissions ', ' implied by NDCs, indicating an ', 'implementation gap']"
127,"Innovation and adoption of low-emission technologies lags in most developing countries, particularly least developed ones, due in part to weaker enabling conditions, including limited finance, technology development and transfer, and capacity building.","IPCC further says: ""Adoption of low-emission technologies lags in most developing countries, particularly least developed ones, due in part to weaker enabling conditions, including limited finance, technology development and transfer, and capacity.",25,0.928,"['doption of low-emission technologies lags in most developing countries, particularly least developed ones, due in part to weaker enabling conditions, including limited finance, technology development and transfer, and capacity']"
128,"Pörtner, D.C. Roberts, V. Masson-Delmotte, P. Zhai, M. Tignor, E. Poloczanska, K. Mintenbeck, A. Alegria, M. Nicolai, A. Okem, J. Petzold, B. Rama, N.M. Weyer (eds.)].","Pörtner, D.C. Roberts, V. Masson-Delmotte, P. Zhai, M. Tignor, E. Poloczanska, K. Mintenbeck, A. Alegría, M. Nicolai, A. Okem, J. Petzold, B. Rama, N.M. Weyer (eds.)].",1,0.9940119760479041,"['Pörtner, D.C. Roberts, V. Masson-Delmotte, P. Zhai, M. Tignor, E. Poloczanska, K. Mintenbeck, A. Alegr', 'a, M. Nicolai, A. Okem, J. Petzold, B. Rama, N.M. Weyer (eds.)].']"
129,"Adoption of low-emission technologies lags in most developing countries, particularly least developed ones, due in part to weaker enabling conditions, including limited finance, technology development and transfer, and capacity.","IPCC further says: ""Adoption of low-emission technologies lags in most developing countries, particularly least developed ones, due in part to weaker enabling conditions, including limited finance, technology development and transfer, and capacity.",20,0.957983193277311,"['Adoption of low-emission technologies lags in most developing countries, particularly least developed ones, due in part to weaker enabling conditions, including limited finance, technology development and transfer, and capacity.']"
130,"In many countries, especially those with limited institutional capacities, several adverse side effects have been observed as a result of diffusion of low-emission technology, for example, low-value employment, and dependency on foreign knowledge and suppliers.","In many countries, especially those with limited institutional capacities, several adverse side effects have been observed as a result of diffusion of low-emission technology, e.g., low-value employment, and dependency on foreign knowledge and suppliers.""",11,0.9728682170542635,"['In many countries, especially those with limited institutional capacities, several adverse side effects have been observed as a result of diffusion of low-emission technology, ', ', low-value employment, and dependency on foreign knowledge and suppliers.']"
131,"If the geological storage site is appropriately selected and managed, it is estimated that the CO₂ can be permanently isolated from the atmosphere.","If the geological storage site is appropriately selected and managed, it is estimated that the CO₂can be permanently isolated from the atmosphere.",1,0.9965870307167235,"['If the geological storage site is appropriately selected and managed, it is estimated that the CO₂', 'can be permanently isolated from the atmosphere.']"
132,"Reducing GHG emissions across the full energy sector requires major transitions, including a substantial reduction in overall fossil fuel use, the deployment of low-emission energy sources, switching to alternative energy carriers, and energy efficiency and conservation.","According to the IPCC WG III report, reducing GHG emissions across the full energy sector requires major transitions, including a substantial reduction in the overall fossil fuel use, the deployment of low-emission energy sources, switching to alternative energy carriers, and energy efficiency and conservation.",42,0.9262435677530018,"['ducing GHG emissions across the full energy sector requires major transitions, including a substantial reduction in', ' overall fossil fuel use, the deployment of low-emission energy sources, switching to alternative energy carriers, and energy efficiency and conservation.']"
133,"conditions such as policy instruments, greater public support and technological innovation could reduce these barriers.","Enabling conditions such as policy instruments, greater public support and technological innovation could reduce these barriers (IPCC AR6 WGIII SPM).",30,0.8880597014925373,"['conditions such as policy instruments, greater public support and technological innovation could reduce these barriers']"
134,"Human-induced climate change is a consequence of more than a century of net GHG emissions from unsustainable energy use, land-use and land use change, lifestyle and patterns of consumption and production.","Human-induced climate change is a consequence of more than a century of net GHG emissions from unsustainable-energy use, land-use and land use change, and lifestyle and patterns of consumption and production (IPCC AR6, WGIII SPM).",27,0.935483870967742,"['Human-induced climate change is a consequence of more than a century of net GHG emissions from unsustainable', 'energy use, land-use and land use change, ', 'lifestyle and patterns of consumption and production']"
135,"Pörtner, D.C. Roberts, V. Masson-Delmotte, P. Zhaj, M. Tignot, E. Poloczanska, K. Mintenbeck, A. Alegria, M. Nicolai, A. Okem, J Petzold, B. Rama, N.M. Weyer (eds.)].","Pörtner, D.C. Roberts, V. Masson-Delmotte, P. Zhai, M. Tignor, E. Poloczanska, K. Mintenbeck, A. Alegría, M. Nicolai, A. Okem, J. Petzold, B. Rama, N.M. Weyer (eds.)].",4,0.978978978978979,"['Pörtner, D.C. Roberts, V. Masson-Delmotte, P. Zha', ', M. Tigno', ', E. Poloczanska, K. Mintenbeck, A. Alegr', 'a, M. Nicolai, A. Okem, J', ' Petzold, B. Rama, N.M. Weyer (eds.)].']"
182,"In: Climate Change and Land: an IPCC special report on climate change, desertification, and degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems IPR.","37 IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems",37,0.896551724137931,"['IPCC special report on climate change, desertification, ', 'and degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems']"
183,"In: Global Warming of 1.5°C an IPCC Special Report on the Impacts of Global Warming of 1.5°C Above Pre-Industrial Levels and Related Global Greenhouse Gas Emission Pathways, in the context of Strengthening the Global Response to the Threat of Climate Change Masson-Delmotte, V., P. Zhai, H.-O.","An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, 2018.",81,0.8015122873345936,"['IPCC Special Report on the ', 'mpacts of ', 'lobal ', 'arming of 1.5°C ', 'ndustrial ', 'evels and ', 'elated ', 'lobal ', 'reenhouse ', 'mission ', 'athways, in the context of ', 'trengthening the ', 'lobal ', 'esponse to the ', 'hreat of ', 'limate ']"
184,"In: Global Warming of 1.5°C an IPCC Special Report on the Impacts of Global Warming of 1.5°C Above Pre-Industrial Levels and Related Global Greenhouse Gas Emission Pathways, in the context of Strengthening the Global Response to the Threat of Climate Change Masson-Delmotte, V., P. Zhai, H.-O.","An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, 2018.",81,0.8015122873345936,"['IPCC Special Report on the ', 'mpacts of ', 'lobal ', 'arming of 1.5°C ', 'ndustrial ', 'evels and ', 'elated ', 'lobal ', 'reenhouse ', 'mission ', 'athways, in the context of ', 'trengthening the ', 'lobal ', 'esponse to the ', 'hreat of ', 'limate ']"
185,"In human systems, the process of adjustment to actual or expected climate and its effects, in order to moderate harm or exploit beneficial opportunities.","In human systems, adaptation is the process of adjustment to actual or expected climate and its effects, in order to moderate harm or exploit beneficial opportunities.",14,0.95625,"['In human systems, ', 'the process of adjustment to actual or expected climate and its effects, in order to moderate harm or exploit beneficial opportunities.']"
186,"In natural systems, the process of adjustment to actual climate and its effects; human intervention may facilitate adjustment to expected climate and its effects.","In natural systems, it is the process of adjustment to actual climate and its effects; human intervention may facilitate adjustment to expected climate and its effects (IPCC, 2018, p.542)",25,0.9283667621776505,"['In natural systems, ', 'he process of adjustment to actual climate and its effects; human intervention may facilitate adjustment to expected climate and its effects']"
187,"The ability of systems, institutions, humans and other organisms to adjust to potential damage, to take advantage of opportunities or to respond to consequences (IPCC, 2014; MA, 2005).","Adaptive capacity is the ability of systems, institutions, humans and other organisms to adjust to potential damage, to take advantage of opportunities or to respond to consequences.",45,0.8743169398907104,"['he ability of systems, institutions, humans and other organisms to adjust to potential damage, to take advantage of opportunities or to respond to consequences']"
188,"The climate system can be represented by models of varying complexity; that is, for any one component or combination of components a spectrum or hierarchy of models can be identified, differing in such aspects as the number of spatial dimensions, the extent to which physical, chemical or biological processes are explicitly represented, or the level at which empirical parametrisations are involved.","components a spectrum or hierarchy of models can be identified, differing in such aspects as the number of spatial dimensions, the extent to which physical, chemical or biological processes are explicitly represented, or the level at which empirical parameterizations are involved.",122,0.8193832599118943,"['s a spectrum or hierarchy of models can be identified, differing in such aspects as the number of spatial dimensions, the extent to which physical, chemical or biological processes are explicitly represented, or the level at which empirical paramet', 'ations are involved.']"
189,"Simulated response of the climate system to a scenario of future emissions or concentrations of greenhouse gases (GHGS) and aerosols and changes in land use, generally derived using climate models.","A climate projection is the simulated response of the climate system to a scenario of future emission or concentration of greenhouse gases (GHGS) and aerosols, generally derived using climate models.",55,0.8585858585858586,"['ulated response of the climate system to a scenario of future emission', ' or concentration', ' of greenhouse gases (GHGS) and aerosols', ', generally derived using climate models.']"
190,"Climate projections depend on an emission/concentration/ radiative forcing scenario, which is in turn based on assumptions concerning, for example, future socioeconomic and technological developments that may or may not be realised.","Climate projections are distinguished from climate predictions by their dependence on the emission/concentration/ radiative forcing scenario used, which is in turn based on assumptions concerning, for example, future socioeconomic and technological developments that may or may not be realised (IPCC, 2018, p.545).",84,0.8424908424908425,"['Climate projections ', ' emission/concentration/ radiative forcing scenario', ', which is in turn based on assumptions concerning, for example, future socioeconomic and technological developments that may or may not be realised']"
191,"Variability may be intrinsic, due to fluctuations of processes internal to the climate system (internal variability), or extrinsic, due to variations in natural or anthropogenic external forcing (forced variability).","Variability may be due to natural internal processes within the climate system (internal variability), or to variations in natural or anthropogenic external forcing (external variability).",56,0.8267326732673268,"['Variability may be ', 'due to ', ' processes ', 'he climate system (internal variability), or ', 'o variations in natural or anthropogenic external forcing (', ' variability).']"
192,"Climate models are applied as a research tool to study and simulate the climate and for operational purposes, including monthly, seasonal and interannual climate predictions.","Climate models are applied as a research tool to study and simulate the climate and for operational purposes, including monthly, seasonal and interannual climate predictions (IPCC, 2018, p.545).",20,0.9456521739130435,"['Climate models are applied as a research tool to study and simulate the climate and for operational purposes, including monthly, seasonal and interannual climate predictions']"
193,"A change in the state of the climate that can be identified (e.g., by using statistical tests) by changes in the mean and/or the variability of its properties and that persists for an extended period, typically decades or longer.","Climate change refers to a change in the state of the climate that can be identified (for example, by using statistical tests) by changes in the mean and/ or the variability of its properties, and which persists for an extended period, typically decades or longer.",42,0.9006085192697769,"[' change ', 'in the state of the climate that can be identified (', ', by using statistical tests) by changes in the mean and/', 'or the variability of its properties', ' persists for an extended period, typically decades or longer.']"
194,"A change in the state of the climate that can be identified (e.g., by using statistical tests) by changes in the mean and/or the variability of its properties and that persists for an extended period, typically decades or longer.","using statistical tests) by changes in the mean and/or the variability of its properties, and that persists for an extended period, typically decades or longer.",71,0.8174807197943444,"['using statistical tests) by changes in the mean and/or the variability of its properties', ' and that persists for an extended period, typically decades or longer.']"
195,"A change in the state of the climate that can be identified (e.g., by using statistical tests) by changes in the mean and/or the variability of its properties and that persists for an extended period, typically decades or longer.","using statistical tests) by changes in the mean and/or the variability of its properties, and that persists for an extended period, typically decades or longer.",71,0.8174807197943444,"['using statistical tests) by changes in the mean and/or the variability of its properties', ' and that persists for an extended period, typically decades or longer.']"
196,"A change in the state of the climate that can be identified (e.g., by using statistical tests) by changes in the mean and/or the variability of its properties and that persists for an extended period, typically decades or longer.","using statistical tests) by changes in the mean and/or the variability of its properties, and that persists for an extended period, typically decades or longer.",71,0.8174807197943444,"['using statistical tests) by changes in the mean and/or the variability of its properties', ' and that persists for an extended period, typically decades or longer.']"
197,"A change in the state of the climate that can be identified (e.g., by using statistical tests) by changes in the mean and/or the variability of its properties and that persists for an extended period, typically decades or longer.","using statistical tests) by changes in the mean and/or the variability of its properties, and that persists for an extended period, typically decades or longer.",71,0.8174807197943444,"['using statistical tests) by changes in the mean and/or the variability of its properties', ' and that persists for an extended period, typically decades or longer.']"
198,"Climate change may be due to natural internal processes or external forcings such as modulations of the solar cycles, volcanic eruptions and persistent anthropogenic changes in the composition of the atmosphere or in land use.","Climate change may be due to natural internal processes or external forcings such as modulations of the solar cycles, volcanic eruptions and persistent anthropogenic changes in the composition of the atmosphere or in land use.",0,1.0,"['Climate change may be due to natural internal processes or external forcings such as modulations of the solar cycles, volcanic eruptions and persistent anthropogenic changes in the composition of the atmosphere or in land use.']"
199,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.","he United Nations Framework Convention on Climate Change (UNFCCC) defines climate change in the following terms: A change of climate directly or indirectly attributable to human activity, which alters the composition of the global atmosphere and adds to the natural climate variability observed over comparable time periods.",101,0.8284023668639053,"['e United Nations Framework Convention on Climate Change (UNFCCC)', ' change of climate ', 'irectly ', ' to human activity', ' alters the composition of the global atmosphere and ', ' natural climate variability observed over comparable time periods.']"
200,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.","EXECUTIVE SUMMAR T he United Nations Framework Convention on Climate Change (UNFCCC) defines climate change as: ""change of climate that is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and that is in addition to natural climate variability observed over comparable period of time"".",59,0.8872832369942196,"['he United Nations Framework Convention on Climate Change (UNFCCC)', 'defines climate change as: ', 'change of climate ', ' is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and ', ' is in addition to natural climate variability observed over comparable ']"
201,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.","Under the UNFCCC, climate change is defined as ""a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods"".",88,0.8426073131955485,"[' the U', 'limate ', 'hange ', 'define', 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods']"
202,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.","Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: ""a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.""",2,0.9957446808510638,"['Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: ', 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.']"
